Program Name,Skills,Website
Girl Rising India,"Academic Excellence, Leadership, Critical Thinking",https://girlrising.org/
Sakshi Education Initiative,"Academic Excellence, Leadership, Critical Thinking",https://www.sakshi.org.in/
UNESCO Women in STEM Program,"Academic Excellence, Leadership, Critical Thinking",https://en.unesco.org/women-in-stem
Women in Science India,"Academic Excellence, Leadership, Critical Thinking",https://www.womeninscienceindia.org/
IEEE Women in Engineering Mentorship,"Academic Excellence, Leadership, Critical Thinking",https://wie.ieee.org/
Oxford Women in Education,"Academic Excellence, Leadership, Critical Thinking",https://www.ox.ac.uk/about/diversity/women
MIT Women in Science & Engineering,"Academic Excellence, Leadership, Critical Thinking",https://wi.mit.edu/
Mera Doctor,"Health Awareness, Nutrition, Wellness",https://meradoctor.com/
Women’s Health Initiative,"Health Awareness, Nutrition, Wellness",https://www.womenshealthinitiative.org/
Sangath Health Mentorship,"Health Awareness, Nutrition, Wellness",https://www.sangath.in/
HealthSetGo,"Health Awareness, Nutrition, Wellness",https://healthsetgo.com/
SheHealth,"Health Awareness, Nutrition, Wellness",https://shehealth.in/
Planned Parenthood Global Youth Mentorship,"Health Awareness, Nutrition, Wellness",https://www.plannedparenthood.org/planned-parenthood-global
Harvard Women in Public Health,"Health Awareness, Nutrition, Wellness",https://www.hsph.harvard.edu/women-in-public-health/
Women in Mental Health Network,"Health Awareness, Nutrition, Wellness",https://www.womeninmentalhealth.org/
Women in Medicine Leadership Mentorship,"Health Awareness, Nutrition, Wellness",https://www.hopkinsmedicine.org/women-in-medicine/
Johns Hopkins Women in Healthcare,"Health Awareness, Nutrition, Wellness",https://www.jh.edu/women-in-healthcare/
Green Mentorship Program,"Environmental Awareness, Sustainability Practices",https://greenmentorship.org/
Women for Water,"Environmental Awareness, Sustainability Practices",https://www.womenforwater.org/
Eco Femme,"Environmental Awareness, Sustainability Practices",https://ecofemme.org/
Greenpeace India,"Environmental Awareness, Sustainability Practices",https://www.greenpeace.org/india/
Swayam Shikshan Prayog (SSP),"Environmental Awareness, Sustainability Practices",https://www.sspindia.org/
Women in Climate Tech,"Environmental Awareness, Sustainability Practices",https://www.womeninclimatetech.org/
UN Women Environmental Leadership Program,"Environmental Awareness, Sustainability Practices",https://www.unwomen.org/en/what-we-do/environmental-leadership
She Sustains (Women in Renewable Energy),"Environmental Awareness, Sustainability Practices",https://www.shesustains.org/
Earth Advocates Women Network,"Environmental Awareness, Sustainability Practices",https://www.earthadvocates.org/
Global Women in Sustainability,"Environmental Awareness, Sustainability Practices",https://www.globalwomeninsustainability.org/
SEWA Mentorship Program,"Financial Literacy, Entrepreneurship, Leadership",https://www.sewa.org/
Women on Wings,"Financial Literacy, Entrepreneurship, Leadership",https://www.womenonwings.com/
AIF Women Empowerment Program,"Financial Literacy, Entrepreneurship, Leadership",https://www.aif.org/women-empowerment/
Grameen Foundation,"Financial Literacy, Entrepreneurship, Leadership",https://grameenfoundation.org/
CARE India,"Financial Literacy, Entrepreneurship, Leadership",https://www.careindia.org/
"Goldman Sachs 10,000 Women","Financial Literacy, Entrepreneurship, Leadership",https://www.goldmansachs.com/citizenship/10000women/
Women in Finance Network,"Financial Literacy, Entrepreneurship, Leadership",https://www.womeninfinancenetwork.org/
IMF Women in Economics Program,"Financial Literacy, Entrepreneurship, Leadership",https://www.imf.org/en/About/Recruitment/Women-in-Economics
SheTrades by International Trade Centre,"Financial Literacy, Entrepreneurship, Leadership",https://www.shetrades.com/
Women in Banking & Investment Network,"Financial Literacy, Entrepreneurship, Leadership",https://www.womeninbanking.org/
SIGA Women Global Mentorship,"Sports , Entrepreneurship",https://siga-sport.com/siga-global-female-mentorship-programme/
She is Football Weekend by Tampa Bay Buccaneers,"Sports , Leadership",https://www.buccaneers.com/sheisfootball/
Women4Climate Mentorship Programme,"Health , Environment",c40.org
Women's Mentorship Program - Health Systems Global (HSG),"Health , Environment",healthsystemsglobal.org
Financial Literacy for Women - SNN,"Financial Literacy , Advocacy",snnla.org
Invest in Girls Financial Education Program,"Financial Literacy , Advocacy",councilforeconed.org
Women's Money Matters,"Financial Literacy , Advocacy",womensmoneymatters.org
Kode With Klossy,"Programming , Leadership",kodewithklossy.com
Girls Write Now - Writing Works,"Creative Writing , Entrepreneurship",girlswritenow.org
Leigh Shulman’s Creative Writing Mentorship,"Creative Writing , Entrepreneurship",leighshulman.com
Women Tech Career Mentoring Program,Programming + Business Strategy,womentech.net
AI & Innovation Leadership Program,"AI, Leadership",d14.ai
Women Data Professionals Mentoring Program,AI,edmcouncil.org
Women Programming Community Mentorship,"Programming , Business Strategy",womenProgrammingcommunity.com
Global Women TechLeaders Mentoring,"AI , Leadership",globalwomenintech.com
Nourish Equality,"Nutrition , Gender Equality",stronger-foundations.org
Women in AI Ethics Mentoring Program,"AI , Environmental Awareness",womeninaiethics.org
Digital Inclusion Mentorship,"Networking , AI",fundsforngos.org
She's Invested Program,"Sports Training , Entrepreneurship",wnba.com
VV GROW Fellowship,"Health Awareness , Business Strategy",vitalvoices.org
Women Coding Community Mentorship,"Coding , Media Production",womencodingcommunity.com
Girls Who Code Mentoring Corps,"Coding , Media Production",girlswhocode.com
Girls Inc. of NYC Programs,"Teamwork , Financial Literacy",girlsincnyc.org
Women in AI Mentorship Program,"AI , Leadership",womeninai.co/mentorship-canada
VV Visionaries Program,Leadership Development,vitalvoices.org/program/visionaries
Women in Analytics Mentorship Program,"AI , Storytelling",thearf.org/communities/women-in-analytics/mentorship-program
R-Ladies Global Mentoring,"AI , Networking",rladies.org
All Tech Is Human - Responsible Tech Mentorship Program,"AI , Design",alltechishuman.org
Nasscom MentHERship Program,"Leadership, Programming",nasscom.in
EY Women in Technology Program,"Programming , Leadership",ey.com
